datetime,SHFE.rb2005.open,SHFE.rb2005.high,SHFE.rb2005.low,SHFE.rb2005.close,SHFE.rb2005.volume,SHFE.rb2005.open_oi,SHFE.rb2005.close_oi
2019-05-16 09:00:00.000000000,3278.0,3288.0,3278.0,3283.0,10728,57724,66298
2019-05-16 09:15:00.000000000,3283.0,3294.0,3283.0,3293.0,6408,66298,70840
2019-05-16 09:30:00.000000000,3293.0,3298.0,3292.0,3298.0,4022,70840,73042
2019-05-16 09:45:00.000000000,3298.0,3306.0,3296.0,3300.0,3898,73042,75228
2019-05-16 10:00:00.000000000,3300.0,3301.0,3293.0,3299.0,2802,75228,76910
2019-05-16 10:30:00.000000000,3299.0,3307.0,3298.0,3306.0,2146,76910,77988
2019-05-16 10:45:00.000000000,3306.0,3307.0,3298.0,3302.0,1884,77988,78646
2019-05-16 11:00:00.000000000,3302.0,3309.0,3300.0,3309.0,1336,78646,79172
2019-05-16 11:15:00.000000000,3309.0,3309.0,3305.0,3308.0,4334,79172,82542
2019-05-16 13:30:00.000000000,3309.0,3319.0,3309.0,3316.0,3114,82542,83970
2019-05-16 13:45:00.000000000,3316.0,3322.0,3312.0,3314.0,2374,83970,84374
2019-05-16 14:00:00.000000000,3314.0,3314.0,3300.0,3311.0,4182,84374,86794
2019-05-16 14:15:00.000000000,3311.0,3313.0,3305.0,3306.0,4954,86794,89566
2019-05-16 14:30:00.000000000,3306.0,3311.0,3302.0,3310.0,3564,89566,90610
2019-05-16 14:45:00.000000000,3310.0,3312.0,3308.0,3312.0,1466,90610,90742
2019-05-16 21:00:00.000000000,3313.0,3338.0,3313.0,3336.0,6764,90742,92898
2019-05-16 21:15:00.000000000,3336.0,3338.0,3332.0,3337.0,2586,92898,93164
2019-05-16 21:30:00.000000000,3337.0,3342.0,3336.0,3341.0,2806,93164,93306
2019-05-16 21:45:00.000000000,3341.0,3346.0,3340.0,3345.0,1756,93306,94088
2019-05-16 22:00:00.000000000,3345.0,3346.0,3339.0,3340.0,3234,94088,95658
2019-05-16 22:15:00.000000000,3340.0,3349.0,3340.0,3348.0,1274,95658,95652
2019-05-16 22:30:00.000000000,3348.0,3353.0,3345.0,3351.0,2104,95652,95686
2019-05-16 22:45:00.000000000,3351.0,3352.0,3346.0,3350.0,2530,95686,96198
2019-05-17 09:00:00.000000000,3350.0,3352.0,3343.0,3347.0,2840,96198,96658
2019-05-17 09:15:00.000000000,3347.0,3347.0,3335.0,3345.0,4680,96658,98622
2019-05-17 09:30:00.000000000,3345.0,3345.0,3339.0,3341.0,1202,98622,98958
2019-05-17 09:45:00.000000000,3341.0,3345.0,3340.0,3343.0,1262,98958,99732
2019-05-17 10:00:00.000000000,3343.0,3349.0,3333.0,3340.0,3066,99732,101790
2019-05-17 10:30:00.000000000,3340.0,3345.0,3337.0,3343.0,1674,101790,102524
2019-05-17 10:45:00.000000000,3343.0,3345.0,3340.0,3342.0,1278,102524,102938
2019-05-17 11:00:00.000000000,3342.0,3345.0,3340.0,3340.0,2522,102938,104642
2019-05-17 11:15:00.000000000,3340.0,3341.0,3331.0,3340.0,5380,104642,107266
2019-05-17 13:30:00.000000000,3340.0,3363.0,3340.0,3359.0,7558,107266,108118
2019-05-17 13:45:00.000000000,3359.0,3359.0,3350.0,3358.0,2126,108118,107768
2019-05-17 14:00:00.000000000,3358.0,3360.0,3353.0,3353.0,1342,107768,108376
2019-05-17 14:15:00.000000000,3353.0,3356.0,3340.0,3343.0,2336,108376,108940
2019-05-17 14:30:00.000000000,3343.0,3347.0,3340.0,3342.0,1272,108940,109370
2019-05-17 14:45:00.000000000,3342.0,3344.0,3339.0,3343.0,1904,109370,110198
2019-05-17 21:00:00.000000000,3346.0,3357.0,3340.0,3352.0,3566,110198,111752
2019-05-17 21:15:00.000000000,3352.0,3355.0,3345.0,3351.0,2166,111752,112670
2019-05-17 21:30:00.000000000,3351.0,3355.0,3348.0,3353.0,1944,112670,113982
2019-05-17 21:45:00.000000000,3353.0,3354.0,3350.0,3352.0,1684,113982,115244
2019-05-17 22:00:00.000000000,3352.0,3352.0,3347.0,3347.0,3800,115244,117634
2019-05-17 22:15:00.000000000,3347.0,3350.0,3343.0,3349.0,1654,117634,118488
2019-05-17 22:30:00.000000000,3349.0,3357.0,3349.0,3355.0,1322,118488,118614
2019-05-17 22:45:00.000000000,3355.0,3357.0,3343.0,3344.0,2288,118614,119532
2019-05-20 09:00:00.000000000,3344.0,3348.0,3337.0,3341.0,5672,119532,122204
2019-05-20 09:15:00.000000000,3341.0,3342.0,3331.0,3341.0,3378,122204,123600
2019-05-20 09:30:00.000000000,3341.0,3343.0,3335.0,3340.0,1132,123600,123936
2019-05-20 09:45:00.000000000,3340.0,3341.0,3336.0,3339.0,870,123936,124110
2019-05-20 10:00:00.000000000,3339.0,3343.0,3339.0,3340.0,664,124110,124102
2019-05-20 10:30:00.000000000,3339.0,3347.0,3338.0,3346.0,1502,124102,124170
2019-05-20 10:45:00.000000000,3346.0,3353.0,3346.0,3352.0,2400,124170,124506
2019-05-20 11:00:00.000000000,3352.0,3352.0,3344.0,3347.0,1658,124506,124690
2019-05-20 11:15:00.000000000,3347.0,3348.0,3343.0,3346.0,846,124690,124886
2019-05-20 13:30:00.000000000,3346.0,3348.0,3341.0,3345.0,1562,124886,125160
2019-05-20 13:45:00.000000000,3345.0,3349.0,3343.0,3349.0,1126,125160,125190
2019-05-20 14:00:00.000000000,3349.0,3349.0,3343.0,3348.0,832,125190,125144
2019-05-20 14:15:00.000000000,3348.0,3348.0,3340.0,3340.0,1548,125144,125630
2019-05-20 14:30:00.000000000,3340.0,3343.0,3337.0,3343.0,1812,125630,126616
2019-05-20 14:45:00.000000000,3343.0,3347.0,3340.0,3346.0,1836,126616,126386
2019-05-20 21:00:00.000000000,3347.0,3366.0,3345.0,3351.0,6686,126386,124520
2019-05-20 21:15:00.000000000,3351.0,3360.0,3346.0,3359.0,3794,124520,122924
2019-05-20 21:30:00.000000000,3359.0,3361.0,3356.0,3358.0,2624,122924,123360
2019-05-20 21:45:00.000000000,3358.0,3358.0,3352.0,3358.0,3208,123360,122538
2019-05-20 22:00:00.000000000,3358.0,3362.0,3356.0,3358.0,1378,122538,122754
2019-05-20 22:15:00.000000000,3358.0,3362.0,3357.0,3359.0,1258,122754,122582
2019-05-20 22:30:00.000000000,3359.0,3366.0,3358.0,3366.0,3296,122582,120588
2019-05-20 22:45:00.000000000,3366.0,3369.0,3361.0,3365.0,1946,120588,120894
2019-05-21 09:00:00.000000000,3366.0,3377.0,3361.0,3372.0,3144,120894,120932
2019-05-21 09:15:00.000000000,3372.0,3388.0,3371.0,3382.0,2928,120932,121168
2019-05-21 09:30:00.000000000,3382.0,3383.0,3370.0,3372.0,2016,121168,121686
2019-05-21 09:45:00.000000000,3372.0,3382.0,3370.0,3380.0,866,121686,121540
2019-05-21 10:00:00.000000000,3380.0,3383.0,3377.0,3382.0,934,121540,121842
2019-05-21 10:30:00.000000000,3382.0,3383.0,3375.0,3377.0,2324,121842,123012
2019-05-21 10:45:00.000000000,3377.0,3381.0,3375.0,3380.0,1072,123012,123122
2019-05-21 11:00:00.000000000,3380.0,3405.0,3380.0,3403.0,4098,123122,123334
2019-05-21 11:15:00.000000000,3403.0,3410.0,3392.0,3397.0,4458,123334,121970
2019-05-21 13:30:00.000000000,3396.0,3407.0,3396.0,3407.0,3066,121970,121850
2019-05-21 13:45:00.000000000,3407.0,3417.0,3402.0,3416.0,3272,121850,121732
2019-05-21 14:00:00.000000000,3416.0,3419.0,3406.0,3409.0,5046,121732,121814
2019-05-21 14:15:00.000000000,3409.0,3420.0,3407.0,3420.0,2824,121814,122342
2019-05-21 14:30:00.000000000,3420.0,3422.0,3415.0,3421.0,3386,122342,122502
2019-05-21 14:45:00.000000000,3421.0,3445.0,3420.0,3445.0,4924,122502,122040
2019-05-21 21:00:00.000000000,3445.0,3462.0,3440.0,3458.0,5692,122040,122118
2019-05-21 21:15:00.000000000,3458.0,3459.0,3447.0,3452.0,3166,122118,122756
2019-05-21 21:30:00.000000000,3452.0,3457.0,3448.0,3457.0,2044,122756,123220
2019-05-21 21:45:00.000000000,3457.0,3472.0,3452.0,3472.0,3280,123220,123278
2019-05-21 22:00:00.000000000,3472.0,3478.0,3426.0,3426.0,8000,123278,123978
2019-05-21 22:15:00.000000000,3426.0,3444.0,3417.0,3418.0,6428,123978,124760
2019-05-21 22:30:00.000000000,3418.0,3435.0,3418.0,3433.0,2360,124760,125406
2019-05-21 22:45:00.000000000,3433.0,3437.0,3428.0,3430.0,2602,125406,126652
2019-05-22 09:00:00.000000000,3432.0,3443.0,3427.0,3432.0,5856,126652,129054
2019-05-22 09:15:00.000000000,3432.0,3440.0,3432.0,3436.0,2154,129054,129522
2019-05-22 09:30:00.000000000,3436.0,3437.0,3428.0,3431.0,1426,129522,130256
2019-05-22 09:45:00.000000000,3431.0,3441.0,3428.0,3436.0,1394,130256,130398
2019-05-22 10:00:00.000000000,3436.0,3440.0,3435.0,3438.0,1180,130398,130696
2019-05-22 10:30:00.000000000,3438.0,3442.0,3436.0,3436.0,938,130696,130876
2019-05-22 10:45:00.000000000,3436.0,3440.0,3436.0,3437.0,288,130876,130898
2019-05-22 11:00:00.000000000,3437.0,3439.0,3432.0,3439.0,1194,130898,131088
2019-05-22 11:15:00.000000000,3439.0,3449.0,3436.0,3448.0,1482,131088,131196
2019-05-22 13:30:00.000000000,3449.0,3457.0,3446.0,3446.0,5102,131196,130532
2019-05-22 13:45:00.000000000,3446.0,3457.0,3446.0,3457.0,3680,130532,131612
2019-05-22 14:00:00.000000000,3457.0,3460.0,3449.0,3449.0,2836,131612,132842
2019-05-22 14:15:00.000000000,3449.0,3451.0,3430.0,3438.0,5362,132842,133904
2019-05-22 14:30:00.000000000,3438.0,3448.0,3430.0,3435.0,2414,133904,133392
2019-05-22 14:45:00.000000000,3435.0,3444.0,3434.0,3442.0,1774,133392,133180
2019-05-22 21:00:00.000000000,3444.0,3444.0,3428.0,3428.0,3804,133180,134362
2019-05-22 21:15:00.000000000,3428.0,3432.0,3422.0,3427.0,2992,134362,135350
2019-05-22 21:30:00.000000000,3427.0,3436.0,3427.0,3429.0,1646,135350,135526
2019-05-22 21:45:00.000000000,3429.0,3438.0,3428.0,3436.0,1852,135526,135130
2019-05-22 22:00:00.000000000,3436.0,3441.0,3434.0,3438.0,1286,135130,134692
2019-05-22 22:15:00.000000000,3438.0,3445.0,3438.0,3439.0,1814,134692,134426
2019-05-22 22:30:00.000000000,3439.0,3453.0,3433.0,3444.0,2862,134426,135228
2019-05-22 22:45:00.000000000,3444.0,3444.0,3435.0,3439.0,1288,135228,135546
2019-05-23 09:00:00.000000000,3437.0,3440.0,3426.0,3426.0,4124,135546,137410
2019-05-23 09:15:00.000000000,3426.0,3431.0,3424.0,3429.0,2542,137410,138134
2019-05-23 09:30:00.000000000,3429.0,3432.0,3420.0,3420.0,3578,138134,137856
2019-05-23 09:45:00.000000000,3420.0,3427.0,3418.0,3421.0,2236,137856,138286
2019-05-23 10:00:00.000000000,3421.0,3429.0,3420.0,3428.0,766,138286,138186
2019-05-23 10:30:00.000000000,3428.0,3430.0,3424.0,3427.0,882,138186,138386
2019-05-23 10:45:00.000000000,3427.0,3435.0,3426.0,3434.0,1562,138386,138052
2019-05-23 11:00:00.000000000,3434.0,3438.0,3430.0,3433.0,1350,138052,137460
2019-05-23 11:15:00.000000000,3433.0,3435.0,3431.0,3435.0,398,137460,137386
2019-05-23 13:30:00.000000000,3435.0,3443.0,3434.0,3443.0,1764,137386,137742
2019-05-23 13:45:00.000000000,3443.0,3443.0,3435.0,3437.0,1054,137742,137704
2019-05-23 14:00:00.000000000,3437.0,3437.0,3430.0,3435.0,758,137704,137804
2019-05-23 14:15:00.000000000,3435.0,3443.0,3433.0,3440.0,1336,137804,137404
2019-05-23 14:30:00.000000000,3440.0,3443.0,3432.0,3433.0,842,137404,137502
2019-05-23 14:45:00.000000000,3433.0,3435.0,3421.0,3422.0,2564,137502,138704
2019-05-23 21:00:00.000000000,3417.0,3421.0,3395.0,3401.0,5652,138704,139578
2019-05-23 21:15:00.000000000,3401.0,3403.0,3391.0,3402.0,3138,139578,139900
2019-05-23 21:30:00.000000000,3402.0,3408.0,3400.0,3402.0,2382,139900,140856
2019-05-23 21:45:00.000000000,3402.0,3406.0,3400.0,3403.0,1174,140856,141258
