时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/05/15 21:00:00,3334,3334,3275,3275,16602,15070
2019/05/15 21:15:00,3275,3279,3268,3272,15316,29286
2019/05/15 21:30:00,3271,3273,3265,3267,10346,39110
2019/05/15 21:45:00,3267,3270,3265,3267,7658,45840
2019/05/15 22:00:00,3267,3285,3266,3279,6070,50078
2019/05/15 22:15:00,3278,3281,3273,3275,3334,52520
2019/05/15 22:30:00,3275,3278,3272,3276,3716,55648
2019/05/15 22:45:00,3276,3277,3272,3277,3082,57724
2019/05/16 09:00:00,3278,3288,3278,3283,10728,66298
2019/05/16 09:15:00,3283,3294,3283,3293,6408,70840
2019/05/16 09:30:00,3294,3298,3292,3298,4020,73042
2019/05/16 09:45:00,3298,3306,3296,3300,3860,75188
2019/05/16 10:00:00,3300,3301,3293,3299,2842,76910
2019/05/16 10:30:00,3299,3307,3298,3306,2146,77988
2019/05/16 10:45:00,3305,3307,3298,3302,1884,78646
2019/05/16 11:00:00,3301,3309,3300,3309,1336,79172
2019/05/16 11:15:00,3308,3309,3305,3308,4334,82542
2019/05/16 13:30:00,3309,3319,3309,3316,3114,83970
2019/05/16 13:45:00,3316,3322,3312,3314,2374,84374
2019/05/16 14:00:00,3314,3314,3300,3312,4180,86794
2019/05/16 14:15:00,3311,3313,3305,3306,4956,89566
2019/05/16 14:30:00,3305,3311,3302,3310,3564,90610
2019/05/16 14:45:00,3309,3312,3308,3312,1466,90742
2019/05/16 21:00:00,3313,3338,3313,3336,6762,92896
2019/05/16 21:15:00,3336,3338,3332,3337,2588,93164
2019/05/16 21:30:00,3338,3342,3336,3341,2806,93306
2019/05/16 21:45:00,3341,3346,3340,3343,1754,94088
2019/05/16 22:00:00,3345,3346,3339,3340,3236,95658
2019/05/16 22:15:00,3340,3349,3340,3348,1274,95652
2019/05/16 22:30:00,3349,3353,3345,3351,2096,95694
2019/05/16 22:45:00,3351,3352,3346,3350,2538,96198
2019/05/17 09:00:00,3350,3352,3343,3347,2830,96658
2019/05/17 09:15:00,3347,3347,3335,3345,4690,98622
2019/05/17 09:30:00,3344,3345,3339,3341,1202,98958
2019/05/17 09:45:00,3341,3345,3340,3343,1262,99732
2019/05/17 10:00:00,3343,3349,3333,3340,3066,101790
2019/05/17 10:30:00,3340,3345,3337,3343,1674,102524
2019/05/17 10:45:00,3342,3345,3340,3342,1278,102938
2019/05/17 11:00:00,3343,3345,3340,3340,2522,104642
2019/05/17 11:15:00,3340,3341,3331,3340,5380,107266
2019/05/17 13:30:00,3340,3363,3340,3359,7558,108118
2019/05/17 13:45:00,3358,3359,3350,3358,2126,107768
2019/05/17 14:00:00,3359,3360,3353,3353,1342,108376
2019/05/17 14:15:00,3353,3356,3340,3343,2336,108940
2019/05/17 14:30:00,3343,3347,3340,3342,1272,109370
2019/05/17 14:45:00,3343,3344,3339,3343,1904,110198
2019/05/17 21:00:00,3346,3357,3340,3352,3566,111752
2019/05/17 21:15:00,3353,3355,3345,3351,2166,112670
2019/05/17 21:30:00,3353,3355,3348,3353,1944,113982
2019/05/17 21:45:00,3353,3354,3350,3352,1684,115244
2019/05/17 22:00:00,3350,3352,3347,3347,3800,117634
2019/05/17 22:15:00,3347,3350,3343,3349,1654,118488
2019/05/17 22:30:00,3349,3357,3349,3355,1322,118614
2019/05/17 22:45:00,3353,3357,3343,3344,2288,119532
2019/05/20 09:00:00,3344,3348,3337,3340,5670,122202
2019/05/20 09:15:00,3341,3342,3331,3341,3380,123600
2019/05/20 09:30:00,3341,3343,3335,3340,1132,123936
2019/05/20 09:45:00,3341,3341,3336,3339,870,124110
2019/05/20 10:00:00,3339,3343,3339,3340,664,124102
2019/05/20 10:30:00,3339,3347,3338,3346,1502,124170
2019/05/20 10:45:00,3348,3353,3347,3352,2400,124506
2019/05/20 11:00:00,3352,3352,3344,3347,1658,124690
2019/05/20 11:15:00,3347,3348,3343,3346,846,124886
2019/05/20 13:30:00,3346,3348,3341,3345,1562,125160
2019/05/20 13:45:00,3345,3349,3343,3349,1126,125190
2019/05/20 14:00:00,3349,3349,3343,3348,832,125144
2019/05/20 14:15:00,3347,3348,3340,3340,1448,125554
