时间,信号,价格,手数(平,开),平仓盈亏,可用资金,权益
2019/05/16 09:00:00,BK,3283,0,1,---,97374,100000
2019/05/17 22:45:00,SPK,3344,1,1,610,97935,100610
2019/05/20 21:00:00,BPK,3351,1,1,-70,97859,100540
2019/05/21 22:00:00,SPK,3426,1,1,750,98549,101290
2019/05/22 11:15:00,BPK,3448,1,1,-220,98312,101070
2019/05/22 21:00:00,SPK,3428,1,1,-200,98128,100870
2019/05/24 09:30:00,BPK,3411,1,1,170,98311,101040
2019/05/24 22:30:00,SPK,3430,1,1,190,98486,101230
2019/05/28 09:15:00,BPK,3425,1,1,50,98540,101280
2019/05/28 10:30:00,SPK,3413,1,1,-120,98430,101160
2019/05/29 14:45:00,BPK,3395,1,1,180,98624,101340
2019/05/30 10:45:00,SPK,3382,1,1,-130,98504,101210
2019/05/30 22:15:00,BPK,3374,1,1,80,98591,101290
2019/05/31 11:15:00,SPK,3364,1,1,-100,98499,101190
2019/06/04 09:15:00,BPK,3342,1,1,220,98736,101410
2019/06/05 13:30:00,SPK,3349,1,1,70,98801,101480
2019/06/06 11:00:00,BPK,3329,1,1,200,99017,101680
2019/06/10 09:15:00,SPK,3327,1,1,-20,98998,101660
2019/06/10 14:45:00,BPK,3331,1,1,-40,98955,101620
2019/06/11 21:45:00,SPK,3391,1,1,600,99507,102220
2019/06/12 10:00:00,BPK,3393,1,1,-20,99486,102200
2019/06/12 11:15:00,SPK,3383,1,1,-100,99394,102100
2019/06/13 09:00:00,BPK,3382,1,1,10,99404,102110
2019/06/13 10:30:00,SPK,3376,1,1,-60,99349,102050
2019/06/13 14:45:00,BPK,3382,1,1,-60,99284,101990
2019/06/14 14:30:00,SPK,3377,1,1,-50,99238,101940
2019/06/17 22:00:00,BPK,3343,1,1,340,99606,102280
2019/06/19 10:45:00,SPK,3382,1,1,390,99964,102670
2019/06/19 21:30:00,BPK,3405,1,1,-230,99716,102440
2019/06/24 14:45:00,SPK,3484,1,1,790,100443,103230
2019/06/24 22:00:00,BPK,3508,1,1,-240,100184,102990
2019/06/25 09:30:00,SPK,3502,1,1,-60,100128,102930
2019/06/25 14:45:00,BPK,3519,1,1,-170,99945,102760
2019/06/26 09:15:00,SPK,3508,1,1,-110,99844,102650
2019/06/26 10:00:00,BPK,3518,1,1,-100,99736,102550
2019/06/27 11:15:00,SPK,3591,1,1,730,100407,103280
2019/06/27 21:00:00,BPK,3570,1,1,210,100634,103490
2019/07/01 14:15:00,SPK,3626,1,1,560,101149,104050
2019/07/01 22:00:00,BPK,3636,1,1,-100,101041,103950
2019/07/02 09:00:00,SPK,3603,1,1,-330,100738,103620
2019/07/02 14:30:00,BPK,3614,1,1,-110,100619,103510
2019/07/02 22:30:00,SPK,3601,1,1,-130,100499,103380
2019/07/03 22:30:00,BPK,3599,1,1,20,100521,103400
2019/07/04 11:00:00,SPK,3599,1,1,0,100521,103400
2019/07/04 22:00:00,BPK,3607,1,1,-80,100434,103320
